start	end	text
0	29400	¿Se acuerdan que lo que hemos estado hablando era del... de lo que es un al... de lo que era el parcino? ¿Y volvimos a... o te digo que si no me equivoco? No, no, no lo vimos. Nosotros hemos visto algo parecido que era lo que era un postaguer.
29400	36400	Eso de lo que vamos a ver ahora es que es un parcer. Un parcer que es... es algo que tomo un texto y una gramática.
36400	48400	Sí. Y de vuelve el árbol de análisis intactico correspondiente a ese... a ese... a ese texto de entrada o faixa.
48400	55400	Entonces, si la analizador se intactico en lo que haces tomo un texto de vuelve una estructura.
55400	68400	¿De acuerdo a la gramática que le estamos pasando? ¿Le vamos? Intenta a machar lo que sea que sagramáticas tenga con el texto o sea el formali.
68400	75400	Según el formalismo que te especifica y vuelve el texto con estructura y vamos. Eso llama parcino.
75400	84400	Nosotros vimos la clase pasada, lo que era un... que el general vimos mencionamos ahora el formalismo pero en general hablamos de...
84400	91400	gramáticas libre de contexto como el formalismo principal para el parcino que había existe y de hecho sigue siendo así.
91400	102400	Es decir, si bien, mucho más orientada a árbol es inducido a partir de corpus y con muchas modificaciones.
102400	108400	En el fondo sigue bien, sigue siendo gramática libre de contexto de la base de los formalismo macumnevaros.
108400	116400	Hay otros, la mática categoría, la gramática dependencia, la gramática dependencia, los últimos años se han popularizado bastante.
116400	123400	Pero los parcer principales siguen estando basados en esto. Es decir, no son tan naís como esto.
123400	129400	Tienen sombarciones evolucionadas, esto, ¿verdad?
129400	135400	Y en estas clases lo que vamos a ver es uno o dos de los algoritmos macumulares de parcino.
135400	145400	Que incluye una cantidad de nociones que luego se repite y algunas de las cuales repiten cosas que vimos antes.
145400	151400	En otros contextos van a dar. Entonces, pero lo que vamos a hablar ahora es de la taría de la análisis intacta.
151400	160400	Entonces, a sumimos que yo tengo el texto que tengo la gramática que voy a suponer que es una gramática libre de contexto que modela mi lenguaje.
160400	165400	Y en la analizar y voy a ver cómo funciona un analizar sin táctico.
165400	170400	Lo mismo que hacía como la lenguaje para la macio, los compiladores tienen un parcer de la lenguaje para la macio.
170400	174400	¿Cuál es el problema que tienen la lenguaje natural y comparado con los lenguaje?
174400	180400	Perdón, de programación es que es amigo. Entonces, nosotros tenemos que manejar y se ambigüera.
185400	194400	Pero, además, es muy interesante para ver para poner un poco más filosófico y ver que hay dos aproximaciones a la resolución de los problemas.
194400	203400	¿Qué se corresponden con? Esencialmente dos ramas de la filosofía, a lo largo de la historia,
203400	212400	que es la que parte de los conceptos para llegar a los datos o en la que parte de los datos e induce los conceptos.
212400	223400	En ese libro de 1620, Francisco Eico, como que introducías, ese concepto de que decía, bueno, hay solo dos formas de investigar y descubrir la verdad.
223400	238400	Una parte de los sentidos y de los objetos particulares, induciendocio más generales y de ahí de nivel y a partir de eso descubre lo que había en el medio digamos.
238400	242400	La otra, perdón, al revés.
242400	248400	El primero, rápidamente, va arriba y baja. O sea, generaliza rápidamente, va bajando hasta los sujetos.
248400	252400	Y el otro contúcio y los encima de abajo se arriba.
252400	262400	Si yo puedo partir de los datos y tratar de inferir mis reglas, miramati, mi árbol o partir de la primera producción de la gramática ahí,
262400	267400	generando el árbol hacia abajo y ver al final y se corresponde con algún texto que yo tengo.
267400	275400	modeles a dos formas tradicionales de aproximarse a los problemas.
275400	281400	Entonces, efectivamente correspondiendo a eso, tenemos dos grandes que las sean elisicinta y pico,
281400	289400	si bien por supuesto, siempre aparecen cosas en el medio, pero una es un análisis sintático descendente.
289400	298400	Sí, o top down, que lo que hace es, bueno, construyo mi árbol de análisis, que es un árbol de análisis.
298400	312400	El árbol de análisis lo habíamos dejado es algo que parte de una raíz, que siempre es la raíz de la gramática y construye las elementos del medio con los diferentes componentes.
312400	324400	Ahora vamos a ver algún caso, pero es lo que habíamos la clase pasado, una oración es un grupo nominal y un grupo global y así voy abriendo esto.
324400	330400	Y al final acá tengo las palabras.
330400	341400	Determinante, nombre, el perro.
341400	346400	Las árboles no se nací y se corresponde en la producción el armentica, ¿verdad?
346400	357400	Entonces, el desenente de la árbol desde la raíz hacia las hojas, mientras que los botonap parten de la palabra y tratan de ir a encontrar un árbol,
357400	363400	a tener contra la raíz.
363400	372400	Lo que son botonap van, de la secuencia palabra y construye un árbol de las hojas a la raíz, con la doforma de aproximarse.
372400	376400	Y por supuesto, el sitio en combinación.
376400	379400	¿Qué vamos a suponer en nuestros parcias?
379400	384400	Bueno, que tenemos las palabras en un buffer.
385400	410400	Ahora tenemos mis palabras para hacer así, tomo un vuelo de montevideo a paris.
411400	413400	Y la voy a tener en un buffer.
413400	418400	Esta es la palabra 1, 2, 3.
419400	423400	No tiene su etiqueta gramática, o sea que yo no sé la clase.
423400	426400	En principio, voy a tenerlo.
426400	429400	Visipio no, o sea que la voy a tener y buscar.
429400	435400	Y esos todas conocidas, no tengo el problema de la palabra, es desconocía.
435400	442400	Son todas cosas con las que luego tendré que hacer algo, pero para el nuestro ejercicio vamos a ver esto.
442400	451400	Y por supuesto, yo puedo construir parcias topdamp, topdamp y botonamp usando métodos fuerzas gruta.
451400	459400	Es decir, yo parto, por ejemplo, de la raíz,
459400	463400	y entro a probar, porque me hace una gramática, ¿no?
463400	466400	Yo un parto y una gramática.
466400	471400	Tengo una gramática, como la que...
471400	476400	Tengo por acá, la que vimos la clase pasado.
476400	480400	Sí, que más o menos luce.
480400	484400	Así que dice, bueno, una oración,
484400	490400	me voy a copiar por ahora porque la necesitar es un grupo verbal o un grupo nominal.
490400	492400	Seguido un grupo global.
492400	496400	Un grupo nominal es un determinante.
496400	500400	Seguido un hombre o un determinante.
500400	503400	Seguido un hombre, seguido un objetivo.
503400	505400	El parroflaco.
505400	509400	Un hombre propio Juan.
509400	513400	Un grupo nominal.
513400	517400	Y un grupo preposicional dulce de leche.
517400	519400	dulce de leche.
519400	524400	Un grupo nominal, un grupo preposicional y otro grupo preposicional.
524400	529400	dulce de leche con pasas.
529400	535400	Un grupo verbal, por supuesto, es un barvo, un barvo seguido un grupo nominal.
535400	540400	Un barvo seguido un grupo nominal, seguido un grupo preposicional.
540400	542400	Sí.
542400	545400	Un grupo nominal.
545400	551400	Y a su vez un grupo preposicional y su una preposición,
551400	553400	seguía un grupo nominal.
553400	556400	¿Cónguas pasas?
556400	557400	¿Y ahora?
557400	558400	¿Pero?
558400	563400	No, no, no, no, no, no, no, no.
563400	566400	Bueno, en esta aramática no lo tenemos.
566400	568400	Podría haberse, pero...
568400	572400	¿Cónguas pasas?
572400	574400	Ah, claro, tengas razón.
574400	577400	Sí, porque en realidad es el ejemplo de todo un vuelo a parís.
577400	580400	Para tener estación necesitaría tener 2 grupos profesionales.
580400	582400	Esta abracción no la voy a analizar.
582400	585400	Como cambiarla, no un vuelo a parís.
589400	592400	¿O podría llegar a una regla más acá, no?
592400	595400	Bueno, yo tengo esta aramática y puedo empezar,
596400	601400	tendréERERERERERERERERERERERERERERERERERERERER infernis en 1,
601400	606400	es à presión que se busca una regla de la bruna de los gilas.
606400	622900	Una consedia, que está en account que bajó más y se sigue aqui en la camunctora del
622900	647900	Det es un, no es tomo, examen igualo, preposición es aire y verbo tomo y adjetivo
647900	663420	de directo, bueno, pero yo puedo decir un grupo verbal, es un determinante nombre, determinante
663420	671780	es un, es un, pero mi gración no empieza con un, empieza con tomo, o sea yo estoy parado en el
